id,vendor,family,part_numbers,aliases,standards,bands,sdr_tier,sdr_capabilities,fw_arch,fw_openness,fw_re_tooling,key_projects,common_hardware,status,references,notes
airspy-r2-hfplus,Airspy,Airspy R2 / Mini / HF+ Discovery,Airspy R2; Airspy Mini; HF+ Discovery,Airspy,,sub-GHz; 2.4GHz,5,raw-iq; spectral-scan,LPC4370 Cortex-M4 (open firmware) + R820T2 / polyphase-HR front-end,open,libairspy,,,verified,https://airspy.com/; https://airspy.com/airspy-hf-discovery/,"RX-only 12-bit (R2/Mini, 24-1800MHz) or high-DR HF/VHF (HF+ Discovery). Reference receive tier."
alfa-ahpi7292s,ALFA Network,Wi-Fi HaLow (IEEE 802.11ah),AHPI7292S,AHPI7292S,IEEE 802.11ah; Wi-Fi HaLow,sub-GHz,1,monitor; injection,ARM Cortex-M3 (NRC7292),closed,newracom/nrc7292_sw_pkg GPL-2.0 driver; droidifi/newracom-s1g,newracom/nrc7292_sw_pkg,Newracom NRC7292 SoC; Qorvo RFFM6901 front-end module; Raspberry Pi HAT form factor,verified,https://www.cnx-software.com/2022/04/03/add-wifi-halow-to-raspberry-pi-with-alfa-network-ahpi7292s-hat/; https://www.beyondlogic.org/evaluating-the-alfa-network-ahpi7292s-nrc7292/; https://store.rokland.com/products/alfa-network-ahpi7292s-ieee-802-11ah-sub-1-ghz-module-in-raspberry-pi-hat-form-factor,"First Wi-Fi HaLow Raspberry Pi HAT (~$70): Newracom NRC7292 + Qorvo RFFM6901 FEM. Host + standalone modes, up to 15 Mbps. The most practical hobbyist entry point for sub-GHz HaLow monitor/sniffer experiments via the open nrc7292_sw_pkg driver. Net-new named module record."
adi-adrv9361-z7035,Analog Devices,ADRV9361-Z7035 (openwifi),ADRV9361-Z7035; ADRV1CRR-BOB; ADRV1CRR-FMC,ADRV9361-Z7035; ADRV1CRR-BOB; openwifi adrv9361z7035,802.11a; 802.11g; 802.11n,sub-GHz; 2.4GHz; 5GHz,5,monitor; injection; csi; raw-iq; spectral-scan; arbitrary-waveform; radar; covert-channel; open-firmware,Xilinx Zynq-7035 (ARM Cortex-A9 + 7-series FPGA) baseband in Verilog + Linux mac80211 driver,open,Xilinx Vivado; Verilog source (openwifi-hw); MATLAB/Octave DSP model; Linux mac80211 / sdr.ko,openwifi (driver/software); openwifi-hw (FPGA),ADRV9361-Z7035 SOM; ADRV1CRR-BOB/FMC carrier; AD9361 RF (2x2); host Linux PC,verified,https://github.com/open-sdr/openwifi; https://ieeexplore.ieee.org/document/9128614/; https://wiki.analog.com/resources/eval/user-guides/adrv936x_rfsom,Flagship 2x2 openwifi platform: ADI ADRV9361 SOM (Zynq-7035 + AD9361) on ADRV1CRR carrier. Fully open 802.11a/g/n PHY+MAC in FPGA; the true Tier-5 endpoint. Zynq-7035 requires a paid Vivado licence to rebuild the bitstream.
adi-adrv9364-z7020,Analog Devices,ADRV9364-Z7020 (openwifi),ADRV9364-Z7020; ADRV1CRR-BOB,ADRV9364-Z7020; openwifi adrv9364z7020,802.11a; 802.11g; 802.11n,sub-GHz; 2.4GHz; 5GHz,5,monitor; injection; csi; raw-iq; spectral-scan; arbitrary-waveform; covert-channel; open-firmware,Xilinx Zynq-7020 (ARM Cortex-A9 + 7-series FPGA) baseband in Verilog + Linux mac80211 driver,open,Xilinx Vivado (WebPACK); Verilog source (openwifi-hw); MATLAB/Octave DSP model; Linux mac80211 / sdr.ko,openwifi (driver/software); openwifi-hw (FPGA),ADRV9364-Z7020 SOM; ADRV1CRR-BOB carrier; AD9364 RF (1x1); host Linux PC,verified,https://github.com/open-sdr/openwifi; https://ieeexplore.ieee.org/document/9128614/; https://wiki.analog.com/resources/eval/user-guides/adrv936x_rfsom,"Single-stream (1x1) openwifi platform: ADI ADRV9364 SOM (Zynq-7020 + AD9364). Cheapest ADI SOM entry; Zynq-7020 is covered by free Vivado WebPACK, so the FPGA can be rebuilt without a paid licence."
analog-adalm-pluto,Analog Devices,ADALM-PLUTO (PlutoSDR),ADALM-PLUTO; AD9363; AD9364; Zynq-7010,Pluto; PlutoSDR,,sub-GHz; 2.4GHz; 5GHz,5,raw-iq; arbitrary-waveform; passive-radar,"Zynq-7010 dual Cortex-A9 + FPGA, AD9363 transceiver",open,libiio; GNU Radio; IIO-Oscilloscope,,,verified,https://wiki.analog.com/university/tools/pluto; https://www.rtl-sdr.com/adalm-pluto-new-149-tx-capable-sdr-325-3800-mhz-range-12-bit-adc-20-mhz-bandwidth/,"325MHz-3.8GHz (hack: ~70MHz-6GHz via AD9364 re-ID), 12-bit, 20MHz BW, full-duplex 1x1. Go-to full-duplex transceiver for Wi-Fi-sensing researchers."
apple-u1,Apple,Apple U1 UWB chip,U1,U1; Apple U1; Rose,IEEE 802.15.4z HRP-UWB; FiRa-aligned,UWB,0,,"Apple custom HRP-UWB SoC with 3-antenna array for 3-D AoA; channels 5 and 9; fully closed, exposed only via Nearby Interaction",closed,Nearby Interaction framework (distance + direction only),,iPhone 11+; Apple Watch Series 6+; HomePod mini; AirTag,verified,https://developer.apple.com/documentation/nearbyinteraction,"Net-new. Apple's first UWB chip (2019): 3-antenna array yields precise range + 3-D direction (AoA), powering AirTag/Find-My directional arrows. From an SDR standpoint it is entirely sealed -- the only host access is the Nearby Interaction API, which returns distance and direction, never channel/CIR. Tier 0, closed."
apple-u2,Apple,Apple U2 UWB chip,U2,U2; Apple U2,IEEE 802.15.4z HRP-UWB; FiRa-aligned,UWB,0,,"Apple 2nd-gen custom HRP-UWB SoC; longer range and lower power than U1; channels 5/9; closed, Nearby Interaction only",closed,Nearby Interaction framework,,iPhone 15+; Apple Watch Series 9+; AirTag (later units),verified,https://developer.apple.com/documentation/nearbyinteraction,"Net-new. Apple's second-generation UWB chip (2023, iPhone 15): smaller process, ~3x range and lower power vs U1, same closed posture. Host access limited to Nearby Interaction (distance + direction); no raw channel/CIR. Tier 0, closed."
broadcom-bcm4301,Broadcom,BCM43xx SoftMAC (b43legacy),BCM4301,BCM4301,802.11b,2.4GHz,1,monitor; injection,"D11 ucode (SoftMAC, no app CPU)",closed,b43-tools,b43legacy driver,early 802.11b mini-PCI cards,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/b43.html,"802.11b-only B-PHY part driven by the Linux b43legacy driver; mac80211 gives native monitor+injection (tier 1). Proprietary D11 ucode, no OpenFWWF coverage."
broadcom-bcm4306,Broadcom,BCM43xx (SoftMAC / b43),BCM4306,AirForce 54g; bcm43xx,802.11b; 802.11g,2.4GHz,5,monitor; injection; open-firmware,"Broadcom D11 microcode (custom 16-bit RISC), host-driven MAC, no on-die ARM",open,b43-tools; OpenFWWF,OpenFWWF (open D11 firmware); b43 driver,Linksys WMP54G; Dell TrueMobile 1300; Apple AirPort (early); numerous mini-PCI/PCI cards,verified,http://netweb.ing.unibs.it/~openfwwf/; https://github.com/fullstory/openfwwf; https://wireless.docs.kernel.org/en/latest/en/users/drivers/b43.html,"SoftMAC 11g part with a fully open replacement microcode (OpenFWWF), compiled with b43-tools. Genuine open-firmware MAC (tier 5 by openness), but the 11g PHY offers no CSI/IQ path."
broadcom-bcm4309,Broadcom,BCM43xx SoftMAC (b43),BCM4309,BCM4309,802.11b; 802.11g,2.4GHz,1,monitor; injection,"D11 ucode (SoftMAC, no app CPU)",closed,b43-tools; OpenFWWF,b43 driver,mini-PCI/CardBus 11g adapters,verified,https://wireless.docs.kernel.org/en/latest/en/users/drivers/b43.html; http://netweb.ing.unibs.it/~openfwwf/,"G-PHY sibling of the BCM4306; native tier-1 under b43. OpenFWWF does not officially list 4309, so it stays closed rather than tier-5, though the G-PHY core is architecturally the same as the OpenFWWF-covered 4306."
